"Name"."Localized_name"."Description"."Color"."Mode_color"."Color_policy"."Physical_pen_number"."Virtual_pen_number"."Screen"."Linepattern_size"."Linetype"."Adaptive_linetype"."Lineweight"."Fill_style"."End_style"."Join_style"
"Color_078","Color_78","Description_78","Color 7","0,0,0","none","78","78","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_079","Color_79","Description_79","Color 7","0,0,0","none","79","79","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_080","Color_80","Description_80","Color 7","0,0,0","none","80","80","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_081","Color_81","Description_81","Color 7","0,0,0","none","81","81","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_082","Color_82","Description_82","Color 7","0,0,0","none","82","82","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_083","Color_83","Description_83","Color 7","0,0,0","none","83","83","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_084","Color_84","Description_84","Color 7","0,0,0","none","84","84","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_085","Color_85","Description_85","Color 7","0,0,0","none","85","85","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_086","Color_86","Description_86","Color 7","0,0,0","none","86","86","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_087","Color_87","Description_87","Color 7","0,0,0","none","87","87","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_088","Color_88","Description_88","Color 7","0,0,0","none","88","88","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_089","Color_89","Description_89","Color 7","0,0,0","none","89","89","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_090","Color_90","Description_90","Color 3","0,255,0","none","30","90","100","0.5","(Object)","FALSE","0.0762","(Object)","(Object)","(Object)"
"Color_091","Color_91","Description_91","Color 7","0,0,0","none","91","91","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_092","Color_92","Description_92","Color 7","0,0,0","none","92","92","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_093","Color_93","Description_93","Color 7","0,0,0","none","93","93","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_094","Color_94","Description_94","Color 7","0,0,0","none","94","94","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_095","Color_95","Description_95","Color 7","0,0,0","none","95","95","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_096","Color_96","Description_96","Color 7","0,0,0","none","96","96","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_097","Color_97","Description_97","Color 7","0,0,0","none","97","97","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_098","Color_98","Description_98","Color 7","0,0,0","none","98","98","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
